date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:26:38	246/246	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2018%20Oct%202020%2013:26:33%20GMT	https://themes.muffingroup.com/robots.txt		(from )
16:26:38	122348/122348	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Oct%202020%2013:26:20%20GMT	https://themes.muffingroup.com/be/artist3/	C:/Users/Tweek/Desktop/Proj/themes.muffingroup.com/be/artist3/index.html	(from )
16:26:39	5430/5430	---M-Z	200	added ('OK')	image/x-icon	etag:%221536-5a8a8e36c136e-gzip%22	https://themes.muffingroup.com/be/artist3/wp-content/themes/betheme/images/favicon.ico	C:/Users/Tweek/Desktop/Proj/themes.muffingroup.com/be/artist3/wp-content/themes/betheme/images/favicon.ico	(from https://themes.muffingroup.com/be/artist3/)
16:26:41	171438/171438	---M-Z	200	added ('OK')	text/css	etag:%226113-5b1c8fea13db3%22	https://themes.muffingroup.com/be/artist3/wp-content/cache/minify/06b19.css	C:/Users/Tweek/Desktop/Proj/themes.muffingroup.com/be/artist3/wp-content/cache/minify/06b19.css	(from https://themes.muffingroup.com/be/artist3/)
16:26:41	87814/87814	---M-Z	200	added ('OK')	text/css	etag:%222dc1-5b1004abd02bd%22	https://themes.muffingroup.com/be/artist3/wp-content/cache/minify/e0c1f.css	C:/Users/Tweek/Desktop/Proj/themes.muffingroup.com/be/artist3/wp-content/cache/minify/e0c1f.css	(from https://themes.muffingroup.com/be/artist3/)
16:26:41	2065/2065	---MC-	200	added ('OK')	application/rss+xml	etag:%22721164ea8264d36b0cfbb40278c691d1%22	https://themes.muffingroup.com/be/artist3/feed/	C:/Users/Tweek/Desktop/Proj/themes.muffingroup.com/be/artist3/feed/index.html	(from https://themes.muffingroup.com/be/artist3/)
16:26:42	37748/37748	---M-Z	200	added ('OK')	text/css	etag:%22172e-5b1cbd5512912%22	https://themes.muffingroup.com/be/artist3/wp-content/cache/minify/42d7f.css	C:/Users/Tweek/Desktop/Proj/themes.muffingroup.com/be/artist3/wp-content/cache/minify/42d7f.css	(from https://themes.muffingroup.com/be/artist3/)
16:26:43	46489/46489	---MC-	200	added ('OK')	text/javascript	date:Wed,%2009%20Sep%202020%2001:50:37%20GMT	http://www.google-analytics.com/analytics.js	C:/Users/Tweek/Desktop/Proj/www.google-analytics.com/analytics.js	(from https://themes.muffingroup.com/be/artist3/)
16:26:44	5128/5128	---M--	200	added ('OK')	image/jpeg	etag:%221408-5a8a8e38d56e3%22	https://themes.muffingroup.com/be/artist3/wp-content/uploads/2020/06/artist3-section-glow.jpg	C:/Users/Tweek/Desktop/Proj/themes.muffingroup.com/be/artist3/wp-content/uploads/2020/06/artist3-section-glow.jpg	(from https://themes.muffingroup.com/be/artist3/)
16:26:44	2024/2024	---MC-	200	added ('OK')	application/rss+xml	etag:%2296c4894420979c03664848fbb7f1b02d%22	https://themes.muffingroup.com/be/artist3/comments/feed/	C:/Users/Tweek/Desktop/Proj/themes.muffingroup.com/be/artist3/comments/feed/index.html	(from https://themes.muffingroup.com/be/artist3/)
16:26:44	438906/438906	---M-Z	200	added ('OK')	text/css	etag:%2210bea-5b1cbd539b935%22	https://themes.muffingroup.com/be/artist3/wp-content/cache/minify/81b1b.css	C:/Users/Tweek/Desktop/Proj/themes.muffingroup.com/be/artist3/wp-content/cache/minify/81b1b.css	(from https://themes.muffingroup.com/be/artist3/)
16:26:44	2508/2508	---M-Z	200	added ('OK')	text/css	etag:%2239f-5b1cbd5527130%22	https://themes.muffingroup.com/be/artist3/wp-content/cache/minify/de4d8.css	C:/Users/Tweek/Desktop/Proj/themes.muffingroup.com/be/artist3/wp-content/cache/minify/de4d8.css	(from https://themes.muffingroup.com/be/artist3/)
16:26:44	534586/534586	---M-Z	200	added ('OK')	application/x-javascript	etag:%22274b3-5b1cbd560f7db%22	https://themes.muffingroup.com/be/artist3/wp-content/cache/minify/42519.js	C:/Users/Tweek/Desktop/Proj/themes.muffingroup.com/be/artist3/wp-content/cache/minify/42519.js	(from https://themes.muffingroup.com/be/artist3/)
